Input Size,Worst Case Time (ms)
100,0.0
1000,0.0
2000,0.0
5000,0.0
8000,18.584728240966797
10000,16.31450653076172
20000,20.043611526489258
50000,64.73183631896973
80000,122.86782264709473
100000,160.35842895507812
200000,350.14939308166504
500000,896.4231014251709
800000,1469.1545963287354
