Input Size,Best Case Time (ms)
100,0.0
1000,0.0
2000,16.321659088134766
5000,0.0
8000,0.0
10000,17.502546310424805
20000,31.827211380004883
50000,84.27929878234863
80000,115.05484580993652
100000,150.0868797302246
200000,345.0796604156494
500000,937.5636577606201
800000,1364.1481399536133
