Input Size,Average Case Time (ms)
100,0.0
1000,0.0
2000,0.0
5000,17.036914825439453
8000,32.759904861450195
10000,31.848430633544922
20000,67.40260124206543
50000,197.01147079467773
80000,311.7518424987793
100000,406.660795211792
200000,851.1791229248047
500000,2324.05948638916
800000,3711.817741394043
