input,time
1000,35.5677604675293
2000,180.35125732421875
3000,423.08521270751953
4000,756.3662528991699
5000,1173.8429069519043
6000,1724.2798805236816
7000,2366.533041000366
8000,2981.832981109619
9000,3723.77347946167
10000,4621.820688247681
