input,time
1000,109.89952087402344
2000,415.55070877075195
3000,991.574764251709
4000,1676.5012741088867
5000,2744.8184490203857
6000,3860.6057167053223
7000,5299.15976524353
8000,6902.284860610962
9000,8693.074703216553
10000,10699.565410614014
